QTYPE,bpw,group0
iq2_s,404,404
bf16,16.001574,0
q8_0,8.502311,0.000549
iq6_k,6.627496,0.001024
q6_K,6.565002,0.000926
q6_0,6.502508,0.001098
q5_1,6.002557,0.002454
iq5_k,5.502607,0.001845
q5_0,5.502607,0.002906
q5_K,5.502607,0.002602
iq5_ks,5.257867,0.002225
q4_1,5.002656,0.006898
iq4_k,4.502705,0.005441
iq4_nl,4.502705,0.007772
q4_0,4.502705,0.010278
q4_K,4.502705,0.007125
iq4_ks,4.257965,0.007331
iq4_xs,4.252730,0.008052
iq4_kss,4.007990,0.010405
iq4_kt,4.007990,0.009443
iq3_k,3.440309,0.021921
iq3_s,3.440309,0.024832
q3_K,3.440309,0.027972
iq3_ks,3.192952,0.031532
iq3_kt,3.133076,0.028293
iq3_xxs,3.065346,0.041070
iq2_kl,2.693001,0.066624
q2_K,2.627889,0.088382
iq2_k,2.377914,0.096273
iq2_xs,2.315420,0.109819
iq2_ks,2.193050,0.131132
iq2_kt,2.133174,0.112609
iq2_xxs,2.065445,0.161904
iq1_kt,1.758211,0.188000
iq1_m_r4,1.755446,0.272661
iq1_m,1.752975,0.269645
iq1_s,1.565642,0.358509
iq1_s_r4,1.505742,0.389468
