QTYPE,group0
bf16,404
iq1_bn,12.462355
iq1_kt,0.800805
iq1_m,1.203268
iq2_bn,12.710807
iq2_k,0.370610
iq2_kl,0.243250
iq2_ks,0.501339
iq2_kt,0.438016
iq3_k,0.078454
iq3_ks,0.109366
iq3_kt,0.109231
iq3_s,0.083526
iq3_xxs,0.151447
iq4_k,0.023680
iq4_ks,0.028465
iq4_kss,0.040517
iq4_kt,0.037918
iq4_nl,0.030706
iq4_xs,0.030384
iq5_k,0.011223
iq5_ks,0.012340
iq6_k,0
q2_K,0.349580
q3_K,0.095297
q4_0,0.036685
q4_1,0.028467
q4_K,0.029154
q5_0,0.014474
q5_1,0.012270
q5_K,0.012825
q6_0,0.008246
q6_K,0.007630
