QTYPE,bpw,group0
iq1_bn,404,12.386248
iq1_m,404,1.279517
iq1_m_r4,404,1.395057
iq1_s,404,1.826940
iq1_s_r4,404,2.366712
iq2_bn,404,12.739519
iq2_bn_r4,404,12.738332
bf16,16.003397,404
iq6_k,6.630387,0
q6_K,6.567900,0.010623
q6_k_r4,6.567900,0.011343
q6_0,6.505413,0.011421
q6_0_r4,6.505413,0.011783
q5_1,6.005520,0.016234
iq5_k,5.505626,0.014463
iq5_k_r4,5.505626,0.014463
q5_0,5.505626,0.017613
q5_0_r4,5.505626,0.018349
q5_K,5.505626,0.016919
q5_k_r4,5.505626,0.016497
iq5_ks,5.255679,0.015996
iq5_ks_r4,5.255679,0.015996
q4_1,5.005732,0.032540
iq4_k,4.505838,0.028133
iq4_k_r4,4.505838,0.028133
iq4_nl,4.505838,0.035280
iq4_nl_r4,4.505838,0.035030
q4_0,4.505838,0.041932
q4_0_r8,4.505838,0.041816
q4_K,4.505838,0.034221
q4_k_r4,4.505838,0.033235
iq4_ks,4.255891,0.033917
iq4_ks_r4,4.255891,0.033917
iq4_xs,4.255891,0.036524
iq4_xs_r8,4.255891,0.036745
iq4_kss,4.005944,0.044833
iq4_kt,4.005944,0.043493
iq3_k,3.443564,0.086584
iq3_k_r4,3.443564,0.086584
iq3_s,3.443564,0.090825
iq3_s_r4,3.443564,0.091436
q3_K,3.443564,0.101614
q3_k_r4,3.443564,0.101956
iq3_ks,3.193617,0.117936
iq3_kt,3.131130,0.112269
iq3_xxs,3.068643,0.156948
iq3_xxs_r4,3.068643,0.156931
iq2_kl,2.693723,0.248924
q2_K,2.631236,0.350664
q2_k_r4,2.631236,0.350466
iq2_k,2.381289,0.378154
iq2_k_r4,2.381289,0.378154
iq2_ks,2.193829,0.515664
iq2_kt,2.131342,0.449752
iq1_kt,1.756422,0.830421
