QTYPE,bpw,group0
iq2_s,404,0.268571
bf16,16.001574,0
q8_0,8.502311,0.001129
iq6_k,6.627496,0.002195
q6_K,6.565002,0.002166
q6_0,6.502508,0.002653
q5_1,6.002557,0.007164
iq5_k,5.502607,0.004814
q5_0,5.502607,0.008050
q5_K,5.502607,0.007634
iq5_ks,5.257867,0.005786
q4_1,5.002656,0.019207
iq4_k,4.502705,0.014133
iq4_nl,4.502705,0.020415
q4_0,4.502705,0.027116
q4_K,4.502705,0.019287
iq4_ks,4.257965,0.018679
iq4_xs,4.252730,0.020930
iq4_kss,4.007990,0.027523
iq4_kt,4.007990,0.024030
iq3_k,3.440309,0.054176
iq3_s,3.440309,0.062041
q3_K,3.440309,0.070801
iq3_ks,3.192952,0.076605
iq3_kt,3.133076,0.071250
iq3_xxs,3.065346,0.103114
iq2_kl,2.693001,0.154074
q2_K,2.627889,0.214567
iq2_k,2.377914,0.230818
iq2_xs,2.315420,0.268571
iq2_ks,2.193050,0.302604
iq2_kt,2.133174,0.262289
iq2_xxs,2.065445,0.448315
iq1_kt,1.758211,0.460070
iq1_m_r4,1.755446,0.741772
iq1_m,1.752975,0.768130
iq1_s,1.565642,1.215968
iq1_s_r4,1.505742,1.247509
