QTYPE,bpw,group0
iq2_s,404,0.368130
bf16,16.010254,0
q8_0,8.515061,0.004560
iq6_k,6.641272,0.006010
q6_K,6.578812,0.006287
q6_0,6.516847,0.007116
q5_1,6.017177,0.011678
q5_K,5.520850,0.011851
q5_0,5.518239,0.013452
iq5_k,5.517508,0.009109
iq5_ks,5.298339,0.010502
q4_1,5.017838,0.023929
q4_K,4.521701,0.021758
q4_0,4.518927,0.034880
iq4_k,4.518214,0.018524
iq4_nl,4.518214,0.024589
iq4_ks,4.299001,0.023035
iq4_xs,4.268379,0.025570
iq4_kss,4.049167,0.031048
iq4_kt,4.049063,0.026845
q3_K,3.465377,0.061460
iq3_k,3.456417,0.054322
iq3_s,3.456417,0.067682
iq3_ks,3.221894,0.073752
iq3_kt,3.174746,0.065828
iq3_xxs,3.081045,0.136968
iq2_kl,2.722225,0.144133
q2_K,2.653670,0.164869
iq2_k,2.394621,0.208820
iq2_xs,2.331526,0.368130
iq2_ks,2.221665,0.446096
iq2_kt,2.174264,0.350933
iq2_xxs,2.081686,0.592965
iq1_kt,1.800550,0.414053
iq1_m_r4,1.784331,1.042762
iq1_m,1.769387,1.072105
iq1_s,1.582297,1.680212
iq1_s_r4,1.535004,1.744343
