QTYPE,group0
bf16,0
iq1_kt,0.414053
iq1_m,1.072105
iq1_m_r4,1.042762
iq1_s,1.680212
iq1_s_r4,1.744343
iq2_k,0.208820
iq2_kl,0.144133
iq2_ks,0.446096
iq2_kt,0.350933
iq2_s,0.368130
iq2_xs,0.368130
iq2_xxs,0.592965
iq3_k,0.054322
iq3_ks,0.073752
iq3_kt,0.065828
iq3_s,0.067682
iq3_xxs,0.136968
iq4_k,0.018524
iq4_ks,0.023035
iq4_kss,0.031048
iq4_kt,0.026845
iq4_nl,0.024589
iq4_xs,0.025570
iq5_k,0.009109
iq5_ks,0.010502
iq6_k,0.006010
q2_K,0.164869
q3_K,0.061460
q4_0,0.034880
q4_1,0.023929
q4_K,0.021758
q5_0,0.013452
q5_1,0.011678
q5_K,0.011851
q6_0,0.007116
q6_K,0.006287
q8_0,0.004560
