QTYPE,bpw,group0
iq2_s,404,0.291337
bf16,16.002563,404
q8_0,8.503765,404
q6_k,6.566580,404
iq5_k,5.504261,0
iq5_ks,5.263096,0.028969
q4_1,5.004341,0.053680
q4_K,4.505301,0.048327
q4_0,4.504540,0.063302
iq4_k,4.504469,0.046730
iq4_nl,4.504469,0.053446
iq4_ks,4.263259,0.051815
iq4_xs,4.254510,0.053780
iq4_kss,4.013299,0.065924
iq4_kt,4.013179,0.067191
q3_K,3.444438,0.101683
iq3_k,3.442142,0.105737
iq3_s,3.442142,0.112832
iq3_ks,3.196557,0.134585
iq3_kt,3.138441,0.125485
iq3_xxs,3.067230,0.176602
iq2_kl,2.696638,0.239687
q2_K,2.632136,0.275189
iq2_k,2.379814,0.338782
iq2_xs,2.319775,0.345387
iq2_ks,2.197447,0.379601
iq2_kt,2.138577,0.318129
iq2_xxs,2.069836,0.436325
iq1_kt,1.763541,0.815388
iq1_m_r4,1.759370,0.699252
iq1_m,1.757413,0.707736
iq1_s,1.570059,0.880508
iq1_s_r4,1.509412,0.861999
