QTYPE,group0
bf16,0
iq1_bn,2.526891
iq1_kt,0.87333
iq1_m,1.10956
iq1_m_r4,1.096259
iq1_s,1.15991
iq1_s_r4,1.135528
iq2_bn,2.298524
iq2_bn_r4,2.188711
iq2_k,0.270602
iq2_k_r4,0.270602
iq2_kl,0.148997
iq2_ks,0.632561
iq2_kt,0.252872
iq2_s,0.176157
iq2_xs,0.20508
iq2_xs_r4,0.20508
iq2_xxs,0.395509
iq2_xxs_r4,0.395509
iq3_k,0.081863
iq3_k_r4,0.081863
iq3_ks,0.092346
iq3_kt,0.082023
iq3_s,0.103647
iq3_s_r4,0.103647
iq3_xxs,0.126435
iq3_xxs_r4,0.126435
iq4_k,0.041179
iq4_k_r4,0.041179
iq4_ks,0.044645
iq4_ks_r4,0.044645
iq4_kss,0.051711
iq4_kt,0.050528
iq4_nl,0.041109
iq4_nl_r4,0.041109
iq4_xs,0.05169
iq4_xs_r8,0.05169
iq5_k,0.019337
iq5_k_r4,0.019337
iq5_ks,0.034793
iq5_ks_r4,0.034793
iq6_k,0.014485
q2_K,0.228364
q2_k_r4,0.228364
q3_K,0.164539
q3_k_r4,0.164539
q4_0,0.041331
q4_0_r8,0.041331
q4_1,0.035335
q4_K,0.058469
q4_k_r4,0.058469
q5_0,0.036793
q5_0_r4,0.035538
q5_1,0.023979
q5_K,0.029255
q5_k_r4,0.024112
q6_0,0.01461
q6_0_r4,0.015851
q6_K,0.014002
q6_k_r4,0.014369
q8_0,0.007658
q8_0_r8,0.008639
q8_k_r8,0.015515
q8_KV,0.019165
