QTYPE,bpw,group0
iq1_bn,404,404
iq2_bn,404,404
iq2_bn_r4,404,404
bf16,16.010254,0
q8_0,8.515061,0.003718
iq6_k,6.641262,0.004949
q6_K,6.578802,0.005330
q6_0,6.516342,0.006208
q5_1,6.016663,0.010510
iq5_k,5.516983,0.008270
q5_0,5.516983,0.012780
q5_K,5.516983,0.011295
iq5_ks,5.297261,0.009556
q4_1,5.017304,0.024201
iq4_k,4.517624,0.018899
iq4_nl,4.517624,0.026874
q4_0,4.517624,0.037343
q4_K,4.517624,0.024880
iq4_ks,4.297902,0.024544
iq4_xs,4.267784,0.027893
iq4_kss,4.048062,0.034373
iq4_kt,4.048062,0.028769
iq3_k,3.455805,0.063987
iq3_s,3.455805,0.076393
q3_K,3.455805,0.089607
iq3_ks,3.221024,0.090851
iq3_kt,3.173623,0.080749
iq3_xxs,3.081045,0.121373
iq2_kl,2.721344,0.188035
q2_K,2.643826,0.268166
iq2_s,2.581366,0.265001
iq2_k,2.393986,0.299467
iq2_xs,2.331526,0.332352
iq2_ks,2.221665,0.397172
iq2_kt,2.174264,0.318121
iq2_xxs,2.081686,0.532209
iq1_kt,1.799504,0.587846
iq1_m,1.769387,0.915919
iq1_s,1.582297,1.337407
iq1_s_r4,1.535004,1.330769
