QTYPE,bpw,group0
iq1_bn,404,404
iq2_bn,404,404
bf16,16.001574,0
q8_0,8.502311,0.000680
q8_KV,8.012832,404
iq6_k,6.627496,0.001399
q6_K,6.565002,0.001462
q6_0,6.502508,0.001850
q5_1,6.002557,0.004841
iq5_k,5.502607,0.003166
q5_0,5.502607,0.005513
q5_K,5.502607,0.005235
iq5_ks,5.257867,0.003913
q4_1,5.002656,0.013801
iq4_k,4.502705,0.010091
iq4_nl,4.502705,0.015110
q4_0,4.502705,0.020673
q4_K,4.502705,0.014160
iq4_ks,4.257965,0.013611
iq4_xs,4.252730,0.015417
iq4_kss,4.007990,0.020567
iq4_kt,4.007990,0.018013
iq3_k,3.440309,0.042738
iq3_s,3.440309,0.049308
q3_K,3.440309,0.058104
iq3_ks,3.192952,0.061558
iq3_kt,3.133076,0.056442
iq3_xxs,3.065346,0.086575
iq2_kl,2.693001,0.135651
q2_K,2.627889,0.187429
iq2_s,2.565395,0.178876
iq2_k,2.377914,0.206972
iq2_xs,2.315420,0.236665
iq2_ks,2.193050,0.273426
iq2_kt,2.133174,0.230519
iq2_xxs,2.065445,0.383063
iq1_kt,1.758211,0.420510
iq1_m,1.752975,0.696683
iq1_s,1.565642,1.014489
iq1_s_r4,1.505742,1.038133
