QTYPE,group0
bf16,0
iq1_bn,404
iq1_kt,0.420510
iq1_m,0.696683
iq1_s,1.014489
iq1_s_r4,1.038133
iq2_bn,404
iq2_k,0.206972
iq2_kl,0.135651
iq2_ks,0.273426
iq2_kt,0.230519
iq2_s,0.178876
iq2_xs,0.236665
iq2_xxs,0.383063
iq3_k,0.042738
iq3_ks,0.061558
iq3_kt,0.056442
iq3_s,0.049308
iq3_xxs,0.086575
iq4_k,0.010091
iq4_ks,0.013611
iq4_kss,0.020567
iq4_kt,0.018013
iq4_nl,0.015110
iq4_xs,0.015417
iq5_k,0.003166
iq5_ks,0.003913
iq6_k,0.001399
q2_K,0.187429
q3_K,0.058104
q4_0,0.020673
q4_1,0.013801
q4_K,0.014160
q5_0,0.005513
q5_1,0.004841
q5_K,0.005235
q6_0,0.001850
q6_K,0.001462
q8_0,0.000680
q8_KV,404
