QTYPE,bpw,group0
bf16,16.002657,404
q8_0,8.503767,0
q6_0,6.504088,404
q5_1,6.004168,404
iq5_k,5.504251,0.025232
q5_K,5.504251,0.029117
q5_0,5.504248,0.031603
iq5_ks,5.262953,404
q4_1,5.004328,0.060575
iq4_k,4.504411,0.050791
q4_K,4.504411,0.058203
iq4_nl,4.504408,0.062565
q4_0,4.504408,0.073208
iq4_ks,4.263114,0.060959
iq4_xs,4.254451,0.063799
iq4_kss,4.013154,0.082498
iq4_kt,4.013154,0.076929
iq3_k,3.442082,0.139037
iq3_s,3.442082,0.160411
q3_K,3.442082,0.162770
iq3_ks,3.196453,0.183804
iq3_kt,3.138294,0.184744
iq3_xxs,3.067142,0.248312
iq2_kl,2.696533,0.371242
q2_K,2.629712,0.585290
iq2_k,2.379752,0.587906
iq2_xs,2.317262,0.723779
iq2_ks,2.196613,0.991184
iq2_kt,2.138455,0.768029
iq2_xxs,2.067302,1.178797
iq1_kt,1.763515,2.243388
iq1_m_r4,1.759229,5.994605
iq1_m,1.754852,6.454051
iq1_s,1.567466,2.829934
iq1_s_r4,1.509281,12.206353
