QTYPE,group0
bf16,0
iq1_kt,0.756589
iq1_m,0.269625
iq1_s,12.053952
iq1_s_r4,1.350173
iq2_k,0.252621
iq2_kl,0.161807
iq2_ks,1.287110
iq2_kt,0.311280
iq2_s,12.085735
iq2_xs,0.292684
iq2_xxs,0.154764
iq3_k,0.052615
iq3_ks,0.251663
iq3_kt,0.265640
iq3_s,25.786003
iq3_xxs,0.098885
iq4_k,0.015497
iq4_ks,0.019667
iq4_kss,0.026984
iq4_kt,0.024785
iq4_nl,0.015531
iq4_xs,0.021743
iq5_k,0.006355
iq5_ks,0.007455
iq6_k,0.004114
q2_K,0.127524
q3_K,0.071761
q4_0,0.027722
q4_1,0.019689
q4_K,0.013308
q5_0,0.009586
q5_1,0.007947
q5_K,0.006574
q6_0,0.004495
q6_K,0.004090
q8_0,0.002593
