QTYPE,bpw,group0
iq1_bn,404,404
iq1_m,404,404
iq1_s,404,1.599250
iq2_bn,404,404
bf16,16.003411,404
q8_0,8.505011,404
iq6_k,6.630410,404
q6_K,6.567924,0.017995
q6_k_r4,6.567924,0.011297
q6_0,6.505437,0.018160
q6_0_r4,6.505437,0.011579
q5_1,6.005544,0.021966
iq5_k,5.505650,0.021156
iq5_k_r4,5.505650,0.021156
q5_0,5.505650,0.023446
q5_0_r4,5.505650,0.017056
q5_K,5.505650,0.022687
q5_k_r4,5.505650,0.015703
iq5_ks,5.255704,0.021956
q4_1,5.005757,0.036593
iq4_k,4.505863,0.032510
iq4_nl,4.505863,0.039075
q4_0,4.505863,0.043519
q4_0_r8,4.505863,0.037197
q4_K,4.505863,0.036882
iq4_ks,4.255917,0.037609
iq4_xs,4.255917,0.039201
iq4_xs_r8,4.255917,0.033162
iq4_kss,4.005970,0.048003
iq4_kt,4.005970,0.045507
iq3_k,3.443590,0.083238
iq3_s,3.443590,0.088334
q3_K,3.443590,0.098351
iq3_ks,3.193643,0.112506
iq3_kt,3.131157,0.109365
iq3_xxs,3.068670,0.148638
iq2_kl,2.693750,0.235223
q2_K,2.631263,0.327843
iq2_k,2.381317,0.354417
iq2_ks,2.193856,0.479653
iq2_kt,2.131370,0.401592
iq1_kt,1.756450,0.721779
