QTYPE,bpw,group0
bf16,16.005200,404
q8_0,8.507637,0
iq6_k,6.633246,0.002968
q6_K,6.570766,0.003303
q6_0,6.508287,0.003942
q5_1,6.008449,0.007168
q5_K,5.510774,0.006256
iq5_k,5.508612,0.005464
q5_0,5.508612,0.008918
iq5_ks,5.274117,0.006309
q4_1,5.008774,0.017224
q4_K,4.511198,0.012118
iq4_nl,4.510416,0.015197
iq4_k,4.508937,0.013024
q4_0,4.508937,0.025761
iq4_ks,4.274442,0.017371
iq4_xs,4.259018,0.019882
iq4_kss,4.024524,0.025810
iq4_kt,4.024524,0.020806
iq3_k,3.446782,0.048675
iq3_s,3.446782,23.039249
q3_K,3.446782,0.065048
iq3_ks,3.204575,0.143620
iq3_kt,3.149808,0.064228
iq3_xxs,3.071904,0.109894
iq2_kl,2.704738,0.155445
q2_K,2.639297,0.103045
iq2_s,2.572066,10.274158
iq2_k,2.384627,0.243722
iq2_xs,2.322148,0.330671
iq2_ks,2.204900,0.517920
iq2_kt,2.150133,0.328217
iq2_xxs,2.077253,0.218931
iq1_kt,1.775255,0.783614
iq1_m_r4,1.767533,0.981870
iq1_m,1.764907,404
iq1_s,1.624440,404
iq1_s_r4,1.517659,1.806952
