QTYPE,bpw,ppl
bf16,16.002,6.8733
q8_0,10.564,6.8681
q8_0,8.523,6.8685
q8_0,8.502,6.8689
q8_0,8.502,6.8705
q8_0,8.502,6.8705
q8_0,8.502,6.8696
q8_0,7.634,6.8719
iq6_k,7.046,6.8879
iq6_k,6.863,6.8906
iq6_k,6.8017,6.8768
iq6_k,6.675,6.8944
q6_K,6.565,6.8854
q6_K,6.565,6.8854
q5_1,6.164,6.9013
q5_1,5.997,6.8838
q5_1,5.931,6.8992
q5_1,5.919,6.89
q5_1,5.829,6.9233
q5_1,5.767,6.8908
iq5_k,5.68,6.8846
iq5_k,5.615,6.9006
iq5_k,5.553,6.9057
iq5_ks,5.372,6.9464
iq5_ks,5.238,6.957
iq5_ks,5.198,6.955
q4_1,5.108,6.9637
q4_1,5.092,6.9502
q4_1,4.976,6.9574
q4_1,4.92,6.8753
q4_1,4.917,6.8636
q4_1,4.917,6.8636
q4_1,4.783,6.974
q4_0,4.75,7.0319
iq4_k,4.74,6.9008
iq4_k,4.687,6.9944
iq4_k,4.673,7.0239
iq4_k,4.668,6.9924
iq4_k,4.663,6.9304
iq4_k,4.627,6.9051
iq4_k,4.51,6.9319
iq4_k,4.452,6.9655
iq4_k,4.399,7.004
iq4_ks,4.337,6.9922
iq4_ks,4.291,7.0969
iq4_ks,4.2511,6.9087
iq4_xs,4.17,6.9473
iq4_kss,4.117,7.0307
iq4_kss,4.014,7.0226
iq3_kl,3.95,6.9893
iq3_kl,3.906,7.1661
iq3_m,3.755,7.1583
iq3_m,3.652,7.1092
iq3_m,3.624,7.2748
iq3_m,3.588,7.1915
iq3_m,3.567,7.5922
iq3_k,3.419,7.3508
iq3_k,3.4009,7.0291
iq3_xs,3.364,7.3625
iq3_xs,3.332,7.5419
iq3_ks,3.198,7.5821
iq3_xxs,3.027,7.6067
iq3_xxs,3.007,8.9621
iq2_m,2.817,8.1139
q2_K,2.603,8.2829
iq2_s,2.5507,7.6317
iq2_s,2.547,8.5999
iq2_s,2.522,8.3126
iq2_xs,2.303,9.2197
iq2_xxs,1.998,8.4767
iq1_m,1.7005,11.1916
