QTYPE,bpw,ppl
q4_K,4.638,2.9584
iq3_m,3.604,3.0226
iq3_xxs,2.923,3.1813
iq2_m,2.758,3.4086
iq2_k,2.429,3.6827
iq2_xxs,1.9968,3.8128
iq2_xxs,1.959,3.9734
iq1_kt,1.835,4.2187
