QTYPE,bpw,ppl
q8_0,8.504,3.3473
q5_1,5.944,3.355
q4_1,4.925,3.3715
q4_0,4.649,3.3806
iq4_ks,4.162,3.3887
iq3_kl,4.08,3.3898
iq3_m,3.753,3.426
iq3_m,3.551,3.4534
iq3_xxs,2.96,3.6312
q2_K,2.619,3.8109
q2_K,2.6043,3.6784
iq2_s,2.472,3.9583
iq2_xxs,1.984,4.3987
iq2_xxs,1.9224,4.4406
iq1_kt,1.71,5.3113
