QTYPE,bpw,ppl
bf16,16.003,9.8537
q8_0,8.505,9.8206
iq6_k,7.1762,9.8069
q5_1,6.0618,9.8537
iq4_k,4.6632,8.6366
iq4_k,4.6629,10.0342
iq4_ks,4.2795,8.7569
iq3_m,3.6461,8.8523
iq3_k,3.4836,10.6508
iq3_k,3.4836,11.0017
iq2_m,2.8798,10.791
iq2_s,2.5107,11.0382
iq2_s,2.5106,12.3585
iq2_xxs,1.9213,20.9753
iq1_kt,1.8054,23.7421
