QTYPE,bpw,ppl
bf16,16.004,9.948
bf16,16.004,9.946
bf16,16.004,9.9459
bf16,16.004,9.9479
q8_0,11.301,9.9476
q8_0,8.527,9.9572
q8_0,8.505,9.9567
q8_0,8.505,9.9577
q8_0,8.505,9.9577
q8_0,8.505,9.9564
q8_0,7.865,9.986
iq6_k,7.218,9.9579
iq6_k,6.925,9.9737
iq6_k,6.8042,9.989
iq6_k,6.7996,9.9838
iq6_k,6.686,9.9988
q6_K,6.591,10.0079
q6_K,6.568,10.0257
q6_K,6.568,9.9933
q6_K,6.568,9.9933
q6_0,6.298,10.0272
q5_1,6.163,9.9972
q5_1,5.959,10.0519
q5_1,5.93,10.0313
q5_1,5.828,10.0357
q5_1,5.828,10.1308
iq5_k,5.734,10.0176
iq5_k,5.733,10.0631
iq5_k,5.667,10.1706
iq5_k,5.518,10.1322
iq5_k,5.442,10.0383
iq5_k,5.442,10.0642
iq5_ks,5.372,10.0457
iq5_ks,5.276,10.0729
iq5_ks,5.193,10.0125
iq5_ks,5.193,10.0884
iq5_ks,5.132,10.0418
iq5_ks,5.132,10.0859
iq5_ks,5.132,10.3945
iq5_ks,5.129,10.3207
iq5_ks,5.128,10.0635
q4_1,5.1032,9.9583
q4_1,5.1027,10.1317
q4_1,5.056,10.4094
q4_1,4.975,10.1702
q4_1,4.974,10.2558
q4_1,4.907,10.0453
q4_1,4.893,10.0588
q4_1,4.887,10.3195
q4_1,4.856,10.4697
q4_1,4.79,10.1205
q4_1,4.771,10.2256
q4_1,4.763,10.4228
iq4_k,4.691,10.2447
iq4_k,4.614,10.4289
iq4_k,4.585,10.9312
iq4_k,4.572,10.4927
iq4_k,4.397,10.8304
iq4_ks,4.342,10.4422
iq4_ks,4.341,10.8135
iq4_ks,4.282,10.3593
iq4_ks,4.282,11.0262
iq4_ks,4.2527,10.1675
iq4_ks,4.2527,10.384
iq4_xs,4.244,11.0265
iq4_kss,4.119,12.1706
iq3_kl,3.985,10.9166
iq3_kl,3.931,11.2879
iq3_kl,3.916,11.781
iq3_m,3.826,12.1781
iq3_m,3.687,11.381
iq3_m,3.671,11.8899
iq3_m,3.623,28.8561
iq3_k,3.4021,10.7786
iq3_k,3.4021,11.0712
iq3_xs,3.327,12.1783
iq3_xs,3.292,12.2218
iq3_ks,3.209,12.6225
iq3_xxs,2.9769,11.6125
iq3_xxs,2.9769,12.1931
iq2_m,2.871,16.2996
iq2_s,2.5516,13.6005
iq2_s,2.5516,14.7819
iq2_kt,2.1263,17.4419
iq2_kt,2.1263,21.6337
iq2_xxs,1.9988,20.9995
iq2_xxs,1.9988,29.2782
iq1_m,1.7011,51.6555
iq1_m,1.7011,118.4771
