QTYPE,bpw,ppl
bf16,16.003,3.1788
q8_0,8.505,3.1746
q5_1,6.0,3.169
q4_1,4.932,3.2189
iq4_ks,4.164,3.3261
iq4_ks,4.1636,3.2647
iq4_ks,4.1482,3.2933
q3_K,3.537,3.4369
iq3_ks,3.1602,3.4911
iq3_xxs,3.062,3.7569
iq2_kl,2.671,4.3196
iq2_xxs,2.009,5.327
iq2_xxs,2.0085,5.4036
iq2_xxs,2.0072,5.3005
iq2_xxs,2.0072,5.3005
