QTYPE,bpw,ppl
bf16,16.005,4.8159
q8_0,8.508,4.8196
iq6_k,6.8058,4.8203
q4_1,5.1135,4.8315
iq4_ks,4.2679,4.857
iq3_k,3.4038,5.0247
iq2_s,2.5435,5.391
iq2_xxs,2.0113,6.052
iq1_m,1.7136,6.8155
