QTYPE,bpw,ppl
bf16,16.002,6.9066
q8_0,8.502,6.9063
iq6_k,6.8018,6.9001
q4_1,5.1014,6.9014
iq4_ks,4.2512,6.9155
iq3_k,3.4009,7.0303
iq2_s,2.5507,7.8141
iq2_xxs,1.998,8.8462
iq1_m,1.7005,10.9464
