QTYPE,bpw,ppl
bf16,16.005,12.777
bf16,16.005,12.777
bf16,16.005,12.7753
bf16,16.005,12.777
q8_0,12.005,12.7804
q8_0,8.522,12.7783
q8_0,8.507,12.7776
q8_0,8.507,12.7776
q8_0,8.507,12.7759
q8_0,7.88,12.812
iq6_k,7.41,12.7776
iq6_k,6.886,12.7903
iq6_k,6.883,12.8808
iq6_k,6.8024,12.8516
iq6_k,6.649,12.8354
q6_K,6.57,12.9024
q6_K,6.57,12.9024
q6_0,6.359,12.869
q5_1,6.189,12.9458
q5_1,6.13,13.0474
q5_1,6.055,12.9167
q5_1,6.014,12.9105
q5_1,6.01,13.0862
q5_1,5.839,12.8826
q5_1,5.795,13.0007
iq5_k,5.649,12.9884
iq5_k,5.606,13.0447
iq5_k,5.547,13.5832
iq5_k,5.517,13.1968
iq5_k,5.452,13.1933
iq5_k,5.398,13.1062
iq5_ks,5.356,13.3625
iq5_ks,5.356,13.3625
iq5_ks,5.318,13.0891
iq5_ks,5.173,13.5083
iq5_ks,5.17,13.1022
iq5_ks,5.13,13.1882
q4_1,5.118,13.5036
q4_1,5.111,13.1365
q4_1,5.088,13.7183
q4_1,5.024,13.606
q4_1,4.993,13.135
q4_1,4.94,13.1776
q4_1,4.912,13.3533
q4_1,4.882,13.5784
q4_1,4.854,13.8313
q4_1,4.784,14.8526
iq4_k,4.731,17.2649
iq4_k,4.7,13.9618
iq4_k,4.66,13.6834
iq4_k,4.658,14.6142
iq4_k,4.614,15.2158
iq4_k,4.57,14.072
iq4_ks,4.336,14.4677
iq4_ks,4.29,16.3918
iq4_ks,4.2612,13.1244
iq4_xs,4.207,17.2996
iq4_xs,4.158,14.8577
iq4_kss,4.062,16.5434
iq3_kl,3.915,14.7178
iq3_kl,3.845,127.7821
iq3_m,3.609,16.9228
iq3_k,3.538,19.1631
iq3_k,3.412,13.9846
iq3_ks,3.219,27.1656
iq2_s,2.5631,20.1912
iq2_xxs,2.0128,36.8788
iq1_m,1.7129,115.2574
